Grand Prix,Driver,Car,Time,year,Code,Year
Miami,Max  Verstappen ,Red Bull Racing RBPT,1:31.361,2022.0,VER,
Spain,Sergio  Perez ,Red Bull Racing RBPT,1:24.108,2022.0,PER,
Monaco,Lando  Norris ,McLaren Mercedes,1:14.693,2022.0,NOR,
Azerbaijan,Sergio  Perez ,Red Bull Racing RBPT,1:46.046,2022.0,PER,
Canada,Carlos  Sainz ,Ferrari,1:15.749,2022.0,SAI,
Great Britain,Lewis  Hamilton ,Mercedes,1:30.510,2022.0,HAM,
Austria,Max  Verstappen ,Red Bull Racing RBPT,1:07.275,2022.0,VER,
France,Carlos  Sainz ,Ferrari,1:35.781,2022.0,SAI,
Hungary,Lewis  Hamilton ,Mercedes,1:21.386,2022.0,HAM,
Belgium,Max  Verstappen ,Red Bull Racing RBPT,1:49.354,2022.0,VER,
Netherlands,Max  Verstappen ,Red Bull Racing RBPT,1:13.652,2022.0,VER,
Italy,Sergio  Perez ,Red Bull Racing RBPT,1:24.030,2022.0,PER,
Singapore,George  Russell ,Mercedes,1:46.458,2022.0,RUS,
Japan,Zhou  Guanyu ,Alfa Romeo Ferrari,1:44.411,2022.0,ZHO,
United States,George  Russell ,Mercedes,1:38.788,2022.0,RUS,
Mexico,George  Russell ,Mercedes,1:20.153,2022.0,RUS,
Brazil,George  Russell ,Mercedes,1:13.785,2022.0,RUS,
Abu Dhabi,Lando  Norris ,McLaren Mercedes,1:28.391,2022.0,NOR,
Bahrain,Zhou  Guanyu ,Alfa Romeo Ferrari,1:33.996,2023.0,ZHO,
Saudi Arabia,Max  Verstappen ,Red Bull Racing Honda RBPT,1:31.906,2023.0,VER,
Australia,Sergio  Perez ,Red Bull Racing Honda RBPT,1:20.235,2023.0,PER,
Azerbaijan,George  Russell ,Mercedes,1:43.370,2023.0,RUS,
Miami,Max  Verstappen ,Red Bull Racing Honda RBPT,1:29.708,2023.0,VER,
Monaco,Lewis  Hamilton ,Mercedes,1:15.650,2023.0,HAM,
Spain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:16.330,2023.0,VER,
Canada,Sergio  Perez ,Red Bull Racing Honda RBPT,1:14.481,2023.0,PER,
Austria,Max  Verstappen ,Red Bull Racing Honda RBPT,1:07.012,2023.0,VER,
Great Britain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:30.275,2023.0,VER,
Hungary,Max  Verstappen ,Red Bull Racing Honda RBPT,1:20.504,2023.0,VER,
Belgium,Lewis  Hamilton ,Mercedes,1:47.305,2023.0,HAM,
Netherlands,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:13.837,2023.0,ALO,
Italy,Oscar  Piastri ,McLaren Mercedes,1:25.072,2023.0,PIA,
Singapore,Lewis  Hamilton ,Mercedes,1:35.867,2023.0,HAM,
Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:34.183,2023.0,VER,
Qatar,Max  Verstappen ,Red Bull Racing Honda RBPT,1:24.319,2023.0,VER,
United States,Yuki  Tsunoda ,AlphaTauri Honda RBPT,1:38.139,2023.0,TSU,
Mexico,Lewis  Hamilton ,Mercedes,1:21.334,2023.0,HAM,
Brazil,Lando  Norris ,McLaren Mercedes,1:12.486,2023.0,NOR,
Las Vegas,Oscar  Piastri ,McLaren Mercedes,1:35.490,2023.0,PIA,
Abu Dhabi,Max  Verstappen ,Red Bull Racing Honda RBPT,1:26.993,2023.0,VER,
Bahrain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:32.608,2024.0,VER,
Saudi Arabia,Charles  Leclerc ,Ferrari,1:31.632,2024.0,LEC,
Australia,Charles  Leclerc ,Ferrari,1:19.813,2024.0,LEC,
Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:33.706,2024.0,VER,
China,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:37.810,2024.0,ALO,
Miami,Oscar  Piastri ,McLaren Mercedes,1:30.634,2024.0,PIA,
Emilia Romagna,George  Russell ,Mercedes,1:18.589,2024.0,RUS,
Monaco,Lewis  Hamilton ,Mercedes,1:14.165,2024.0,HAM,
Japón,Max Verstappen,Red Bull Racing,1:33.706,,VER,2024.0
China,Fernando Alonso,Aston Martin,1:37.810,,ALO,2024.0
Emilia-Romaña,George Russell,Mercedes,1:18.589,,RUS,2024.0
Mónaco,Lewis Hamilton,Mercedes,1:14.165,,HAM,2024.0
Canadá,Lewis Hamilton,Mercedes,1:14.856,,HAM,2024.0
